CUDA_VISIBLE_DEVICES=2,3 NCCL_MAX_NCHANNELS=3  CUDA_DEVICE_MAX_CONNECTIONS=2 mpirun -np 2 ./main 2 128 128 96 4 1
6 8 10000
Communication Complete from Rank: 0
Communication Complete from Rank: 1
Create pthread success! 
Create pthread success! 
Total 150 requests. 
Total 150 requests. 
request: 0, CPU_Time: 0.000000 ms, CUDA_Time: 31.595520 ms. 
request: 69, CPU_Time: 198.365997 ms, CUDA_Time: 19.674112 ms. 
request: 70, CPU_Time: 197.363998 ms, CUDA_Time: 26.713087 ms. 
request: 71, CPU_Time: 195.746994 ms, CUDA_Time: 33.295361 ms. 
request: 72, CPU_Time: 202.578003 ms, CUDA_Time: 24.289280 ms. 
request: 73, CPU_Time: 206.608002 ms, CUDA_Time: 20.005888 ms. 
request: 74, CPU_Time: 204.723999 ms, CUDA_Time: 21.419008 ms. 
request: 75, CPU_Time: 204.751007 ms, CUDA_Time: 26.984447 ms. 
request: 76, CPU_Time: 203.214005 ms, CUDA_Time: 25.713663 ms. 
request: 77, CPU_Time: 217.309006 ms, CUDA_Time: 12.206080 ms. 
request: 78, CPU_Time: 206.298996 ms, CUDA_Time: 20.596737 ms. 
request: 79, CPU_Time: 206.914001 ms, CUDA_Time: 19.598335 ms. 
request: 80, CPU_Time: 203.925003 ms, CUDA_Time: 20.478975 ms. 
request: 81, CPU_Time: 212.798996 ms, CUDA_Time: 11.631616 ms. 
request: 82, CPU_Time: 201.804001 ms, CUDA_Time: 21.542912 ms. 
request: 83, CPU_Time: 201.000000 ms, CUDA_Time: 31.169537 ms. 
request: 84, CPU_Time: 200.479996 ms, CUDA_Time: 38.657024 ms. 
request: 85, CPU_Time: 210.141998 ms, CUDA_Time: 25.221121 ms. 
request: 86, CPU_Time: 216.750000 ms, CUDA_Time: 25.801727 ms. 
request: 87, CPU_Time: 213.641998 ms, CUDA_Time: 35.843071 ms. 
request: 88, CPU_Time: 220.585007 ms, CUDA_Time: 32.831490 ms. 
request: 89, CPU_Time: 227.578995 ms, CUDA_Time: 24.450048 ms. 
request: 90, CPU_Time: 231.283005 ms, CUDA_Time: 29.447168 ms. 
request: 91, CPU_Time: 230.246994 ms, CUDA_Time: 35.241985 ms. 
request: 92, CPU_Time: 239.207001 ms, CUDA_Time: 32.551937 ms. 
request: 93, CPU_Time: 243.863007 ms, CUDA_Time: 35.164162 ms. 
request: 94, CPU_Time: 251.242996 ms, CUDA_Time: 27.207680 ms. 
request: 95, CPU_Time: 257.734985 ms, CUDA_Time: 26.025984 ms. 
request: 96, CPU_Time: 257.597992 ms, CUDA_Time: 22.203392 ms. 
request: 97, CPU_Time: 267.886993 ms, CUDA_Time: 12.704768 ms. 
request: 98, CPU_Time: 256.675995 ms, CUDA_Time: 22.358015 ms. 
request: 99, CPU_Time: 257.760010 ms, CUDA_Time: 19.685375 ms. 
request: 100, CPU_Time: 256.912994 ms, CUDA_Time: 21.137407 ms. 
request: 101, CPU_Time: 255.169006 ms, CUDA_Time: 28.434431 ms. 
request: 102, CPU_Time: 256.381989 ms, CUDA_Time: 24.341503 ms. 
request: 103, CPU_Time: 260.174988 ms, CUDA_Time: 20.174849 ms. 
request: 104, CPU_Time: 259.498993 ms, CUDA_Time: 18.491392 ms. 
request: 105, CPU_Time: 258.605011 ms, CUDA_Time: 19.097601 ms. 
request: 106, CPU_Time: 255.690002 ms, CUDA_Time: 29.001728 ms. 
request: 107, CPU_Time: 255.436005 ms, CUDA_Time: 27.266048 ms. 
request: 108, CPU_Time: 261.487000 ms, CUDA_Time: 20.207617 ms. 
request: 109, CPU_Time: 259.450989 ms, CUDA_Time: 22.402048 ms. 
request: 110, CPU_Time: 259.821991 ms, CUDA_Time: 20.208639 ms. 
request: 111, CPU_Time: 259.125000 ms, CUDA_Time: 19.801088 ms. 
request: 112, CPU_Time: 257.920990 ms, CUDA_Time: 18.387968 ms. 
request: 113, CPU_Time: 256.854004 ms, CUDA_Time: 17.829887 ms. 
request: 114, CPU_Time: 263.691986 ms, CUDA_Time: 20.916224 ms. 
request: 115, CPU_Time: 253.085999 ms, CUDA_Time: 35.270657 ms. 
request: 116, CPU_Time: 262.265991 ms, CUDA_Time: 24.380417 ms. 
request: 117, CPU_Time: 275.824005 ms, CUDA_Time: 18.132992 ms. 
request: 118, CPU_Time: 265.174988 ms, CUDA_Time: 26.899456 ms. 
request: 119, CPU_Time: 270.523010 ms, CUDA_Time: 18.320383 ms. 
request: 120, CPU_Time: 277.884003 ms, CUDA_Time: 12.264448 ms. 
request: 121, CPU_Time: 266.845001 ms, CUDA_Time: 27.062271 ms. 
request: 122, CPU_Time: 267.921997 ms, CUDA_Time: 29.735935 ms. 
request: 123, CPU_Time: 270.608002 ms, CUDA_Time: 32.857086 ms. 
request: 124, CPU_Time: 276.584991 ms, CUDA_Time: 23.894016 ms. 
request: 125, CPU_Time: 280.209015 ms, CUDA_Time: 29.211649 ms. 
request: 126, CPU_Time: 278.713989 ms, CUDA_Time: 35.309566 ms. 
request: 127, CPU_Time: 287.750000 ms, CUDA_Time: 32.745472 ms. 
request: 128, CPU_Time: 292.605988 ms, CUDA_Time: 32.537601 ms. 
request: 129, CPU_Time: 299.537994 ms, CUDA_Time: 33.039360 ms. 
request: 130, CPU_Time: 304.704010 ms, CUDA_Time: 24.802303 ms. 
Total_Duration: 1816.594011 ms. 
Throughput: 72.112976 samples/s. 
Average Latency: 199.714066 ms. 
Total 131 records. 
